13;-582.2745,2,45.9545
1;-581.7952,2,46.49348
13;-588.3928,2,47.82608
0;-584.6398,2,48.6226
3;-584.5612,2,49.82807
3;-586.6421,2,50.81667
4;-587.0507,2,51.22603
1;-584.7229,2,51.91808
9;-584.3287,2,53.16652
8;-587.0151,2,54.57343
1;-586.7141,2,55.55906
1;-585.1722,2,56.09092
1;-587.5854,2,57.19024
7;-583.0576,2,57.76157
4;-582.584,2,58.53668
2;-580.5038,2,59.29691
3;-585.8355,2,60.60196
7;-587.1164,2,61.04632
9;-582.4457,2,61.97089
11;-582.7306,2,62.83395
7;-584.9818,2,63.59971
9;-581.8295,2,64.03354
9;-580.2987,2,65.10802
1;-585.3112,2,67.02908
7;-582.1352,2,66.76318
12;-586.0283,2,68.85477
12;-583.0882,2,68.69756
12;-582.2291,2,69.48603
1;-585.7227,2,70.83934
11;-581.1517,2,71.14077
6;-583.3954,2,72.46471
7;-583.689,2,73.65624
6;-585.0806,2,74.37872
6;-578.7633,2,74.72224
3;-581.615,2,75.94299
6;-582.1281,2,76.53745
4;-580.4926,2,77.69028
5;-583.1566,2,78.40326
4;-584.4241,2,80.30283
9;-580.0056,2,80.45487
13;-582.2736,2,81.64631
11;-582.8304,2,82.04083
5;-580.635,2,83.1263
7;-581.545,2,84.33665
2;-584.7341,2,84.84215
1;-581.5575,2,85.97772
8;-579.0603,2,86.60664
2;-580.2395,2,87.43913
7;-578.8766,2,88.04071
4;-582.9145,2,89.81846
10;-584.0393,2,90.30134
6;-581.2664,2,91.20526
7;-579.1035,2,92.00163
5;-582.124,2,92.83657
10;-579.1801,2,93.33544
0;-583.1096,2,94.93768
13;-583.5009,2,96.18094
10;-578.5718,2,96.25377
4;-581.5919,2,97.43644
7;-578.9244,2,98.07364
1;-582.1379,2,99.4028
0;-582.8505,2,100.6181
13;-579.2636,2,100.8772
4;-581.1643,2,101.6576
13;-576.9705,2,101.8939
1;-580.6936,2,103.7058
6;-582.2048,2,104.517
7;-579.1053,2,104.8651
9;-580.5939,2,106.295
2;-575.4994,2,106.4501
8;-576.4739,2,107.6581
7;-581.0359,2,108.7315
6;-578.0117,2,109.5803
8;-579.8262,2,110.3912
3;-576.3968,2,111.4789
12;-576.4598,2,112.2145
10;-576.2277,2,112.5845
12;-576.701,2,114.1196
12;-576.4731,2,114.6452
3;-576.2816,2,115.136
6;-580.7398,2,116.989
1;-577.3054,2,117.0534
13;-580.599,2,118.6075
2;-578.7485,2,118.9712
12;-576.7515,2,120.0052
12;-579.8221,2,121.4866
0;-576.5372,2,121.3581
6;-579.3902,2,123.3259
5;-577.3356,2,123.5627
3;-579.9106,2,125.1161
13;-579.1918,2,125.3482
1;-576.47,2,125.8859
2;-577.5234,2,127.1555
0;-576.9932,2,127.609
9;-576.6239,2,128.8776
6;-578.1953,2,130.2292
4;-577.0222,2,130.351
0;-573.1609,2,131.1281
7;-574.3815,2,132.2233
11;-575.1155,2,133.4305
6;-579.495,2,134.7188
13;-574.2695,2,135.2012
12;-573.4794,2,135.7729
11;-572.4944,2,136.7562
13;-573.686,2,137.2489
8;-574.0359,2,138.2959
12;-577.2014,2,139.9276
0;-575.8961,2,140.1083
9;-571.9025,2,140.5227
13;-574.2408,2,141.6171
0;-575.9126,2,143.1056
12;-573.3891,2,143.7631
6;-574.9575,2,145.1248
8;-575.7559,2,146.1029
7;-573.9163,2,146.7945
6;-573.2906,2,147.3971
12;-576.4144,2,148.8885
6;-576.7499,2,149.7664
5;-571.0903,2,149.4064
2;-577.0798,2,150.9645
12;-576.7402,2,152.3383
8;-575.0219,2,152.4686
2;-576.3889,2,153.6288
